id,start,stop,event,isWarm,latitude,longitude,temperature,windSpeed,pressure,humidity,visibility,nebulosity,cloudHeight,moonPhase
 30,115,119,1,1,47.50,7.15,20.4, 4.0, 97220.0, 53.0,30000.0, 90.0,1250.0, 99.0
 31,  0,231,0,1,47.50,7.15,34.6, 3.0, 98550.0, 32.0,26030.0,,, 14.0
 31,231,232,1,1,47.50,7.15,32.5, 2.0, 98870.0, 46.0, 9720.0,,3780.0, 22.0
 32,  0,137,0,1,47.50,7.15,20.4, 2.0, 98350.0, 40.0,25930.0,,2250.0, 69.0
 32,137,138,1,1,47.50,7.15,20.3, 4.0, 98420.0, 42.0,13670.0,,1750.0, 59.0
 33,  0,195,0,1,47.50,7.35,25.1, 7.0, 98530.0, 49.0,35000.0, 50.0,1250.0, 62.0
 33,195,196,1,1,47.50,7.35,21.1, 2.0, 99100.0, 44.0,50000.0, 90.0,1750.0, 51.0
 36,  0, 79,1,0,47.50,7.35, 8.2, 3.0,100220.0, 55.0,15000.0, 75.0,1250.0, 48.0
 37,  0,180,0,1,47.50,7.35,29.8, 3.0, 97690.0, 36.0,25000.0, 75.0, 800.0,  0.0
 37,180,181,1,1,47.50,7.35,32.8, 6.0, 97220.0, 34.0,30000.0, 90.0,1750.0,  1.0
 38,  0,181,0,1,47.50,7.35,23.8, 3.0, 99240.0, 37.0,50000.0, 10.0,2250.0, 89.0
 38,181,182,1,1,47.50,7.35,26.6, 2.0, 98560.0, 31.0,50000.0, 40.0,3500.0, 95.0
 39,  0,159,0,1,47.50,7.35,21.1, 2.0, 99310.0, 39.0,45000.0, 25.0,1750.0, 88.0
 39,159,160,1,1,47.50,7.35,23.3, 4.0, 99070.0, 33.0,50000.0, 75.0,, 94.0
 40,  0,163,0,1,47.50,7.35,24.5, 5.0, 98000.0, 62.0,15000.0, 50.0,1250.0,  8.0
 40,163,164,1,1,47.50,7.35,25.4, 1.0, 97760.0, 59.0,20000.0, 90.0,1250.0,  3.0
 41,  0,200,0,1,47.50,7.55,26.5, 2.0, 98860.0, 55.0,38590.0,,, 95.0
 41,200,201,1,1,47.50,7.55,30.4, 1.0, 98580.0, 45.0,19300.0,,, 99.0
 42,  0, 78,1,0,47.50,7.55,13.7, 7.0, 98420.0, 73.0,23000.0, 90.0, 450.0, 54.0
 43,  0,200,0,1,47.50,7.55,29.2, 6.0, 98330.0, 40.0,11400.0,,1750.0,  6.0
 43,200,201,1,1,47.50,7.55,25.8, 2.0, 98270.0, 43.0,32630.0,,1750.0, 11.0
 44,  0,169,0,1,47.50,7.75,18.8, 2.0, 98430.0, 84.0,27100.0,100.0, 800.0, 78.0
 44,169,170,1,1,47.50,7.75,27.8, 3.0, 98150.0, 53.0,51290.0,,7440.0, 86.0
 45,  0,216,0,1,47.50,7.75,25.2, 3.0, 98980.0, 53.0,26040.0, 90.0,1250.0, 84.0
 45,216,217,1,1,47.50,7.75,27.9, 5.0, 98780.0, 52.0,12710.0,,5640.0, 91.0
 46,  0,233,0,1,47.50,7.75,27.3, 2.0, 98600.0, 52.0,40000.0, 60.0,1250.0,100.0
 46,233,234,1,1,47.50,7.75,21.4, 2.0, 98750.0, 72.0,30000.0, 90.0, 800.0, 99.0
 47,  0,179,0,1,47.50,7.75,24.2, 2.0, 98670.0, 40.0,36010.0,,3660.0, 71.0
 47,179,180,1,1,47.50,7.75,28.7, 1.0, 98270.0, 34.0,30440.0,, 250.0, 81.0
 48,  0,190,0,1,47.69,6.95,24.4, 2.0, 98270.0, 62.0,40000.0, 90.0,, 98.0
 48,190,191,1,1,47.69,6.95,25.2, 5.0, 98010.0, 64.0,25000.0, 90.0, 800.0, 95.0
 49,  0,108,1,0,47.69,6.95, 8.8, 4.0, 98740.0, 63.0,25000.0, 90.0,1250.0, 32.0
 50,  0,205,0,1,47.69,6.95,26.0, 4.0, 98830.0, 56.0,17060.0,,1250.0, 85.0
 50,205,206,1,1,47.69,6.95,23.5, 3.0, 98830.0, 55.0,41070.0, 90.0,1250.0, 76.0
 51,  0,228,0,1,47.69,6.95,26.1, 5.0, 98680.0, 54.0,35000.0, 90.0,1750.0,  3.0
 51,228,229,1,1,47.69,6.95,22.4, 1.0, 98510.0, 79.0,15000.0,100.0, 800.0,  0.0
 52,  0,197,0,1,47.69,6.95,23.0, 1.0, 98460.0, 80.0,12000.0, 90.0, 800.0, 80.0
 52,197,198,1,1,47.69,6.95,30.1, 3.0, 98370.0, 37.0,40000.0, 10.0,1750.0, 89.0
 53,  0,143,0,1,47.69,6.95,22.7, 3.0, 98820.0, 55.0,30000.0, 25.0,1250.0, 87.0
 53,143,144,1,1,47.69,6.95,25.4, 2.0, 98320.0, 39.0,45000.0, 25.0,2250.0, 94.0
 54,  0,140,0,1,47.69,6.95,12.9, 4.0, 98460.0, 55.0,30000.0, 75.0,1250.0, 12.0
 54,140,144,1,1,47.69,6.95,19.0, 2.0, 98540.0, 53.0,30000.0, 90.0,1250.0, 46.0
 55,  0,167,0,1,47.69,7.15,25.4, 7.0, 98980.0, 38.0,70000.0, 60.0,1750.0, 59.0
 55,167,168,1,1,47.69,7.15,23.6, 6.0, 99360.0, 39.0,35000.0, 25.0,, 48.0
 59,  0,172,0,1,47.69,7.15,15.5, 2.0, 97820.0, 89.0, 4500.0,100.0, 450.0, 16.0
 59,172,173,1,1,47.69,7.15,20.5, 1.0, 97510.0, 53.0, 5000.0, 90.0,1250.0, 24.0
 60,  0,158,0,1,47.69,7.15,13.9, 5.0, 98920.0, 89.0,15000.0,100.0, 450.0, 24.0
 60,158,159,1,1,47.69,7.15,19.5, 1.0, 99130.0, 54.0,25000.0, 60.0,1250.0, 34.0
 61,  0,168,0,1,47.69,7.15,17.2, 8.0, 98190.0, 77.0,50000.0, 90.0, 800.0, 19.0
 61,168,169,1,1,47.69,7.15,15.2, 6.0, 99070.0, 75.0,15000.0, 90.0, 450.0, 11.0
 62,  0,181,0,1,47.69,7.15,23.8, 3.0, 99240.0, 37.0,50000.0, 10.0,2250.0, 89.0
 62,181,182,1,1,47.69,7.15,26.6, 2.0, 98560.0, 31.0,50000.0, 40.0,3500.0, 95.0
 63,  0,146,0,1,47.69,7.15,28.1, 1.0, 98850.0, 44.0,50000.0, 10.0,1250.0, 80.0
 63,146,147,1,1,47.69,7.15,30.3, 1.0, 98480.0, 49.0,40000.0, 60.0,1750.0, 70.0
 64,  0, 86,0,1,47.69,7.15,22.8, 5.0, 97840.0, 40.0,50000.0, 90.0,1750.0,  1.0
 64, 86,101,1,1,47.69,7.15, 7.9, 3.0, 98750.0, 51.0,12000.0, 60.0,1250.0, 95.0
 65,  0,157,0,1,47.69,7.15,23.4, 1.0, 98010.0, 63.0,17000.0, 90.0, 800.0, 69.0
 65,157,158,1,1,47.69,7.15,25.7, 2.0, 97980.0, 62.0,17000.0, 50.0, 800.0, 58.0
 66,  0,148,0,1,47.69,7.35,31.2, 1.0, 98620.0, 40.0,50000.0, 75.0,1750.0, 20.0
 66,148,149,1,1,47.69,7.35,30.7, 1.0, 98250.0, 36.0,40000.0, 40.0,1750.0, 30.0
 74,  0,152,0,1,47.69,7.35,12.7, 5.0, 97990.0, 55.0,25000.0, 90.0,1250.0, 15.0
 74,152,153,1,1,47.69,7.35,19.4, 2.0, 98030.0, 54.0,17000.0, 75.0,1750.0,  8.0
 75,  0,164,0,1,47.69,7.35,22.4, 4.0, 99400.0, 57.0,15000.0, 60.0,1250.0, 82.0
 75,164,165,1,1,47.69,7.35,25.9, 2.0, 99140.0, 54.0,29000.0,,, 89.0
 76,  0,180,0,1,47.69,7.35,29.8, 3.0, 97690.0, 36.0,25000.0, 75.0, 800.0,  0.0
 76,180,181,1,1,47.69,7.35,32.8, 6.0, 97220.0, 34.0,30000.0, 90.0,1750.0,  1.0
 77,  0,156,0,1,47.69,7.35,17.7, 4.0, 98820.0, 64.0,50000.0, 90.0,1250.0,  2.0
 77,156,157,1,1,47.69,7.35,18.1, 5.0, 98800.0, 64.0,60000.0,,,  0.0
 78,  0,162,0,1,47.69,7.35,26.2, 2.0, 99010.0, 39.0,30000.0,  0.0,,100.0
 78,162,163,1,1,47.69,7.35,26.7, 3.0, 99150.0, 40.0,20000.0, 10.0,1750.0, 99.0
 79,  0,161,0,1,47.69,7.35,26.7, 3.0, 98220.0, 55.0,10000.0, 75.0,1250.0, 25.0
 79,161,162,1,1,47.69,7.35,24.1, 3.0, 98180.0, 70.0,15000.0, 75.0, 800.0, 16.0
 80,  0,196,0,1,47.69,7.55,21.1, 2.0, 99100.0, 44.0,50000.0, 90.0,1750.0, 51.0
 80,196,197,1,1,47.69,7.55,25.3, 2.0, 99200.0, 36.0,40000.0, 40.0,1750.0, 39.0
 82,  0,167,0,1,47.69,7.55,26.9, 2.0, 98550.0, 25.0,20460.0,,2880.0,  3.0
 82,167,168,1,1,47.69,7.55,28.7, 1.0, 98330.0, 25.0,14360.0,,,  1.0
 83,  0, 81,1,0,47.69,7.55,18.1, 4.0, 99260.0, 58.0,17940.0,,1250.0, 92.0
 84,  0, 68,1,0,47.69,7.55,16.0, 2.0, 97170.0, 38.0,11340.0,,4020.0, 86.0
 86,  0,163,0,1,47.69,7.55,25.1, 4.0, 98040.0, 50.0,25000.0, 90.0, 800.0, 41.0
 86,163,164,1,1,47.69,7.55,23.1, 1.0, 97700.0, 62.0, 8000.0, 90.0, 800.0, 51.0
 87,  0,197,0,1,47.69,7.55,26.8, 5.0, 97800.0, 55.0,18000.0, 90.0, 800.0, 85.0
 87,197,198,1,1,47.69,7.55,22.1, 5.0, 98850.0, 52.0,30000.0, 90.0,1250.0, 77.0
 88,  0,154,0,1,47.69,7.55,17.3, 2.0, 98680.0, 72.0,20000.0, 90.0, 450.0,100.0
 88,154,155,1,1,47.69,7.55,14.2, 1.0, 99130.0, 88.0, 6000.0,100.0, 250.0, 99.0
