dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/hmwx3y	7536c922-e591-4bab-ae06-cb7753b170b0	Données collectées dans le cadre d'études et d'activités de recherche-Données faune de Luc BARBARO		112
10.15468/zq2fhw	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	NHMD Ornithology Collection		111
10.15468/mrscry	fbf36ce5-1de0-4847-99f2-986e63005294	Observations naturalistes indépendantes d'origine privée partagées sur la base de données Kollect Nouvelle-Aquitaine-Observations faunistiques de Quentin GIRAUD		106
10.15468/ad6nen	170c15ec-9705-46ce-9b9c-3b551f66ece9	SHOC, Suivi Hivernal des Oiseaux Communs-Données SHOC		105
10.15470/jlhz16	9b8b3ebb-b4b0-4f47-89ea-4a3fec317c83	A literature-based inventory of ecological interactions in Doñana National Park	Moracho E, Calvo G, Gómez J M, Homet P, Rodríguez-Sánchez F, Villalva P, Jordano P (2023). A literature-based inventory of ecological interactions in Doñana National Park. Version 1.0. Estación Biológica de Doñana (CSIC). Samplingevent dataset. https://doi.org/10.15470/jlhz16	104
10.15468/jl1iie	83784f5e-f762-11e1-a439-00145eb45e9a	Museo Nacional de Ciencias Naturales, Madrid. Colección de Tejidos y ADN	Rey I (2020). Museo Nacional de Ciencias Naturales, Madrid. Colección de Tejidos y ADN. Spanish National Museum of Natural Sciences (CSIC). Occurrence dataset https://doi.org/10.15468/jl1iie accessed via GBIF.org on 2021-07-19.	102
10.15468/g8msf8	7b8e6a47-e071-4d02-b65e-984afd8a1ae3	Animation technique des sites Natura 2000 ‘Barthes de l'Adour’-Animation des Docobs des barthes de l'Adour		101
10.15468/c99u8q	c13704fd-8077-423d-9540-9a3ff0dbbac3	2014_Tour du Valat_1		100
10.15468/n4aorv	28c7cc8e-3163-4c3d-ab4e-31ebd28b068d	Oiseaux de France métropolitaine en hiver 1977-1981		97
10.15468/87h54h	62aa099e-d9c7-4bb2-a37a-6191b0b3fc29	Données de l'association Nature 18-Données Nature 18 - 2021		97
10.15468/s2iu7d	962f59bc-f762-11e1-a439-00145eb45e9a	Collections and observation data National Museum of Natural History Luxembourg	National Museum of Natural History, Luxembourg, National Museum of Natural History Luxembourg, Braun P (2024). Collections and observation data National Museum of Natural History Luxembourg. Version 1.19. National Museum of Natural History, Luxembourg. Occurrence dataset. DOI10.15468/s2iu7d	96
10.15468/w59wga	9b317140-9467-40fd-9ec3-747bdcbb42da	Comptage décadaires oiseaux d'eau des Espaces protégés (LPO France) - Comptage décadaires | RNN Marais d'Yves		94
10.15468/xckykf	d38d6841-de2a-4a16-b39e-495402d8592b	Observations faune et flore du Parc national des Écrins		94
10.15468/cnz8tx	114ba19e-ae97-404c-b627-38f34866f481	Transfert de fichier de données naturalistes d'observateurs indépendants à l'Observatoire FAUNA-Données naturalistes de Frédéric REVERS		93
10.15468/d3mzxf	6f0b28dc-60cf-4378-b0c4-c6c6979ffcbc	Activité générale du bureau d'étude BIOTOPE (1994 - 2013) - Données acquises dans le cadre de l'activité du bureau d'étude BIOTOPE (1994 - 2013)	Inventaire National du Patrimoine Naturel N (2022). Activité générale du bureau d'étude BIOTOPE (1994 - 2013) - Données acquises dans le cadre de l'activité du bureau d'étude BIOTOPE (1994 - 2013). Version 1.1. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/d3mzxf accessed via GBIF.org on 2022-12-14.	93
10.15468/6jjh7b	44296ffa-7f0c-4d3a-bb24-ee5b37b314ec	"Materials of the web site ""Birds of Ukraine"""	"†Issabekov A, Issabekova A, Burkovskyi O, Vovkotrub Y, Dykan N, †Snitsar O, †Sapuga O, †Kalinskyi V, Kodrul' Y, Kaistro V, Kuzhel' K, Liubchenko S, Panchenko P, Pylypiuk K, Raldugina O, Simon A, Formaniuk O, Chernolev E, Tagila A, Nikulenko V, Biatov A, Vasyliuk O (2025). Materials of the web site ""Birds of Ukraine"". Version 1.9. Ukrainian Nature Conservation Group (NGO). Occurrence dataset. https://ukraine.ipt.gbif.no/resource?r=birdwatchersdatabase&v=1.9"	91
10.15468/2ga3wk	00327ee4-9970-4aef-b51a-d6998ebcc249	A Bird Atlas of Kenya	Nussbaumer R, Shema S, Kennedy S, Jackson C (2022): A Bird Atlas of Kenya. v1.8. A Rocha Kenya. Dataset/Occurrence. http://ipt.museums.or.ke/ipt/resource?r=a_bird_atlas_of_kenya&v=1.8	90
